"s","a","r","sp"
24222,3,-25,24221
24221,1,-225,23720
23720,7,-225,23719
23719,1,-225,23218
23218,4,0,23217
23217,3,-25,22715
22715,6,-100,23214
23214,2,-100,22713
22713,3,-25,22211
22211,3,-25,22209
22209,2,-100,21707
21707,1,-225,21204
21204,4,0,21702
21702,1,-225,21199
21199,5,-25,21197
21197,1,-225,21194
21194,3,-25,21192
21192,4,0,21189
21189,7,-225,21687
21687,1,-225,21685
21685,1,-225,21682
21682,6,-100,22180
22180,1,-225,22178
22178,7,-225,22677
22677,5,-25,23176
23176,2,-100,23174
23174,6,-100,23673
23673,6,-100,24173
24173,3,-25,24673
24673,6,-100,25173
25173,2,-100,25173
25173,5,-25,25674
25674,4,0,26174
26174,6,-100,26676
26676,3,-25,26677
26677,3,-25,27178
27178,6,-100,27680
27680,4,0,27682
27682,5,-25,28185
28185,5,-25,28687
28687,5,-25,29190
29190,7,-225,29693
29693,4,0,29696
29696,5,-25,29700
29700,3,-25,29703
29703,1,-225,29706
29706,6,-100,29709
29709,2,-100,29212
29212,6,-100,29716
29716,7,-225,29719
29719,5,-25,29722
29722,2,-100,29225
29225,3,-25,29228
29228,3,-25,28731
28731,1,-225,28233
28233,4,0,27735
27735,5,-25,27736
27736,3,-25,27238
27238,2,-100,26239
26239,1,-225,25739
25739,5,-25,25239
25239,1,-225,24739
24739,3,-25,24239
24239,2,-100,23738
23738,4,0,23237
23237,6,-100,23235
23235,7,-225,23234
23234,5,-25,23233
23233,7,-225,23232
23232,7,-225,23230
23230,5,-25,22729
22729,2,-100,22227
22227,4,0,22225
22225,2,-100,21723
21723,7,-225,21721
21721,4,0,21718
21718,6,-100,21716
21716,1,-225,21214
21214,1,-225,20711
20711,2,-100,20708
20708,2,-100,20204
20204,3,-25,19701
19701,2,-100,19697
19697,4,0,19694
19694,3,-25,19690
19690,1,-225,19686
19686,1,-225,19183
19183,3,-25,19679
19679,1,-225,19675
19675,4,0,19672
19672,1,-225,19668
19668,4,0,20165
20165,1,-225,20162
20162,5,-25,20659
20659,3,-25,21157
21157,7,-225,22155
22155,2,-100,22153
22153,4,0,22651
22651,6,-100,23650
23650,3,-25,24150
24150,3,-25,24649
24649,5,-25,25150
25150,7,-225,26150
26150,7,-225,27152
27152,3,-25,27154
27154,6,-100,28156
28156,5,-25,28658
28658,3,-25,29161
29161,2,-100,29164
29164,1,-225,29667
29667,7,-225,30171
30171,1,-225,30175
30175,4,0,30678
30678,4,0,30682
30682,2,-100,30686
30686,5,-25,31191
31191,7,-225,31695
31695,6,-100,32200
32200,3,-25,31705
31705,1,-225,31709
31709,7,-225,31714
31714,4,0,31719
31719,5,-25,31723
31723,6,-100,31728
31728,3,-25,31733
31733,1,-225,30737
30737,1,-225,30240
30240,5,-25,30244
30244,3,-25,29247
29247,7,-225,29250
29250,6,-100,29252
29252,7,-225,28755
28755,5,-25,28758
28758,3,-25,27760
27760,6,-100,27762
27762,1,-225,26763
26763,4,0,26264
26264,7,-225,25764
25764,4,0,25264
25264,1,-225,24264
24264,4,0,23763
23763,4,0,23262
23262,3,-25,22260
22260,7,-225,22258
22258,3,-25,21256
21256,2,-100,20753
20753,4,0,20250
20250,2,-100,19246
19246,3,-25,18741
18741,3,-25,18237
18237,7,-225,18232
18232,1,-225,17727
17727,2,-100,17222
17222,2,-100,16716
16716,7,-225,16710
16710,7,-225,16705
16705,2,-100,16699
16699,4,0,16693
16693,1,-225,16688
16688,3,-25,16682
16682,3,-25,16676
16676,4,0,16671
16671,7,-225,17665
17665,6,-100,18161
18161,4,0,18657
18657,6,-100,19653
19653,4,0,20150
20150,6,-100,21147
21147,6,-100,21645
21645,2,-100,22143
22143,6,-100,23142
23142,5,-25,24141
24141,4,0,24641
24641,3,-25,25141
25141,2,-100,25141
25141,4,0,26142
26142,1,-225,26143
26143,5,-25,27145
27145,7,-225,28147
28147,6,-100,29149
29149,5,-25,29653
29653,4,0,30156
30156,5,-25,30660
30660,1,-225,31165
31165,1,-225,31169
31169,7,-225,31673
31673,3,-25,32178
32178,5,-25,32683
32683,3,-25,32689
32689,3,-25,32694
32694,6,-100,33199
33199,3,-25,32705
32705,6,-100,33210
33210,6,-100,33716
33716,2,-100,33222
33222,7,-225,33227
33227,1,-225,32733
32733,3,-25,32238
32238,4,0,31742
31742,6,-100,31747
31747,2,-100,30751
30751,4,0,30755
30755,3,-25,29758
29758,7,-225,29761
29761,1,-225,28764
28764,2,-100,27766
27766,6,-100,27267
27267,3,-25,26769
26769,7,-225,26269
26269,1,-225,25270
25270,3,-25,24770
24770,1,-225,23769
23769,5,-25,23267
23267,7,-225,22766
22766,3,-25,22264
22264,5,-25,21762
21762,2,-100,20759
20759,4,0,20255
20255,5,-25,19752
19752,2,-100,19248
19248,5,-25,18743
18743,4,0,18239
18239,7,-225,18234
18234,2,-100,17729
17729,7,-225,17724
17724,2,-100,17219
17219,1,-225,16713
16713,5,-25,16708
16708,6,-100,17202
17202,4,0,17197
17197,1,-225,16691
16691,7,-225,17186
17186,1,-225,17180
17180,7,-225,17676
17676,7,-225,18171
18171,2,-100,18167
18167,7,-225,19163
19163,4,0,19659
19659,7,-225,20156
20156,7,-225,21153
21153,6,-100,22151
22151,3,-25,22650
22650,5,-25,23148
23148,7,-225,24148
24148,3,-25,24647
24647,3,-25,24647
24647,5,-25,25648
25648,1,-225,25649
25649,2,-100,26149
26149,2,-100,26150
26150,3,-25,26652
26652,3,-25,27153
27153,5,-25,27655
27655,4,0,28158
28158,2,-100,28660
28660,1,-225,28663
